suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
natty,0,34,False,6,0.0270609956924111,477,17,2.0,0.8539693744854637,1,0.0,1.0,All,All (261),1.5963,0.2548,0.3474,0.5895,0.666,0.666,1.5739,0.2309,0.3494,0.6377,0.6445,0.6445
natty,0,34,False,6,0.0310874542977353,478,19,2.0,0.8949916056637137,1,0.0,1.0,All,All (261),1.5963,0.2535,0.3457,0.5892,0.667,0.667,1.5729,0.2304,0.3506,0.638,0.6365,0.6365
natty,0,34,False,6,0.0302465028480647,536,15,2.0,0.7958161744579367,1,0.0,1.0,All,All (261),1.5963,0.2526,0.3444,0.5903,0.6656,0.6656,1.5733,0.2299,0.3493,0.6378,0.6424,0.6424
natty,0,34,False,6,0.0251157237106187,419,24,3.0,0.8233589392465845,1,0.0,1.0,All,All (261),1.5964,0.2547,0.3468,0.591,0.6658,0.6659,1.5707,0.2324,0.3572,0.6371,0.6453,0.6453
natty,0,34,False,6,0.0294094372088199,535,15,2.0,0.7962906859315638,1,0.0,1.0,All,All (261),1.5964,0.2546,0.3464,0.5908,0.6638,0.6638,1.5742,0.2275,0.3473,0.6385,0.6361,0.6361
natty,0,34,False,6,0.0231171107608941,556,20,2.27335513967164,0.8,1,0.0,1.0,58,58,1.5964,0.2515,0.3412,0.5875,0.6666,0.6666,1.5709,0.2404,0.362,0.6352,0.6416,0.6417
natty,0,34,False,7,0.0275278138211894,504,20,2.3897389857818605,0.8,1,0.0,1.0,140,140,1.5965,0.2546,0.3461,0.5896,0.6645,0.6645,1.5716,0.2341,0.3571,0.6354,0.6448,0.6448
natty,0,34,False,6,0.0297610675782467,441,25,3.0,0.8381399007243319,1,0.0,1.0,All,All (261),1.5965,0.2525,0.3448,0.5907,0.6672,0.6672,1.5711,0.2367,0.3567,0.6372,0.6438,0.6438
natty,0,34,False,5,0.045985284373248,580,18,1.0,0.8879639408647977,1,0.0,1.0,All,All (261),1.5966,0.2542,0.3466,0.5902,0.6634,0.6634,1.5746,0.2344,0.3541,0.6388,0.643,0.643
natty,0,34,False,6,0.026011150117432,613,18,2.4849549260809973,0.8332442640800422,1,0.0,1.0,65,65,1.5966,0.2517,0.3413,0.5874,0.6677,0.6677,1.5701,0.2348,0.3573,0.6343,0.642,0.642
natty,0,34,False,6,0.0314460232549666,596,13,1.0,0.8929775722845709,1,0.0,1.0,12,118,1.5966,0.2513,0.3436,0.587,0.6687,0.6687,1.5745,0.234,0.3522,0.6361,0.6415,0.6415
natty,0,34,False,6,0.0255885089825746,691,19,2.33698604501739,0.7880292960251811,1,0.0,1.0,74,74,1.5967,0.2527,0.3434,0.5883,0.6658,0.6658,1.5702,0.2378,0.3584,0.6347,0.6445,0.6445
natty,0,34,False,6,0.0278071357074711,442,14,2.0,0.843788410674838,1,0.0,1.0,All,All (261),1.5967,0.252,0.3454,0.5896,0.6692,0.6692,1.574,0.2288,0.3507,0.638,0.6415,0.6415
natty,0,34,False,6,0.0330640595099536,653,7,1.0,0.8271689295400633,1,0.0,1.0,12,118,1.5967,0.2512,0.3436,0.5875,0.6668,0.6668,1.5774,0.2326,0.3484,0.6376,0.6397,0.6398
natty,0,34,False,6,0.0213935123815999,582,4,1.0,0.8795542149013333,1,0.0,1.0,15,75,1.5967,0.2491,0.3398,0.5871,0.6669,0.6669,1.5766,0.2282,0.3491,0.6364,0.6411,0.6412
