upp_low,temp_f_id,name f1,name f2,tau
0,251,Chuck Liddell,Randy Couture,248
1,249,Elvis Sinosic,Alessio Sakara,248
1,255,Frank Mir,Marcio Cruz,248
1,256,Gilbert Aldana,Paul Buentello,248
0,252,Jeff Monson,Branden Lee Hinkle,248
0,253,Joe Riggs,Nick Diaz,248
1,250,Justin Eilers,Brandon Vera,248
0,254,Keith Jardine,Mike Whitehead,248
0,255,Marcio Cruz,Frank Mir,248
1,254,Mike Whitehead,Keith Jardine,248
1,257,Mike van Arsdale,Renato Sobral,248
1,253,Nick Diaz,Joe Riggs,248
0,256,Paul Buentello,Gilbert Aldana,248
1,251,Randy Couture,Chuck Liddell,248
0,257,Renato Sobral,Mike van Arsdale,248
1,258,BJ Penn,Georges St-Pierre,252
1,263,David Loiseau,Rich Franklin,252
0,258,Georges St-Pierre,BJ Penn,252
1,265,Icho Larenas,Tom Murphy,252
0,259,Jason Lambert,Rob MacDonald,252
1,262,Joe Doerksen,Nate Marquardt,252
0,260,Mark Hominick,Yves Edwards,252
0,261,Mike Swick,Steve Vigneault,252
0,262,Nate Marquardt,Joe Doerksen,252
0,263,Rich Franklin,David Loiseau,252
1,259,Rob MacDonald,Jason Lambert,252
0,264,Sam Stout,Spencer Fisher,252
1,264,Spencer Fisher,Sam Stout,252
1,261,Steve Vigneault,Mike Swick,252
0,265,Tom Murphy,Icho Larenas,252
1,260,Yves Edwards,Mark Hominick,252
1,270,Ansar Chalangov,Josh Koscheck,256
1,268,Brad Imes,Dan Christison,256
0,266,Chael Sonnen,Trevor Prangley,256
0,267,Chris Leben,Luigi Fioravanti,256
0,268,Dan Christison,Brad Imes,256
1,272,Jason Von Flue,Luke Cummo,256
1,271,Joe Stevenson,Josh Neer,256
0,269,Jon Fitch,Joshua Burkman,256
0,270,Josh Koscheck,Ansar Chalangov,256
0,271,Josh Neer,Joe Stevenson,256
1,269,Joshua Burkman,Jon Fitch,256
1,274,Keith Jardine,Stephan Bonnar,256
1,267,Luigi Fioravanti,Chris Leben,256
0,272,Luke Cummo,Jason Von Flue,256
0,273,Rashad Evans,Sam Hoger,256
1,273,Sam Hoger,Rashad Evans,256
0,274,Stephan Bonnar,Keith Jardine,256
1,266,Trevor Prangley,Chael Sonnen,256
1,282,Andrei Arlovski,Tim Sylvia,258
0,275,David Terrell,Scott Smith,258
1,281,Derrick Noble,Thiago Alves,258
0,276,Evan Tanner,Justin Levens,258
1,283,Forrest Griffin,Tito Ortiz,258
0,277,Jason Lambert,Terry Martin,258
0,278,Jeff Monson,Marcio Cruz,258
1,276,Justin Levens,Evan Tanner,258
0,279,Karo Parisyan,Nick Thompson,258
1,278,Marcio Cruz,Jeff Monson,258
1,280,Nick Diaz,Sean Sherk,258
1,279,Nick Thompson,Karo Parisyan,258
1,275,Scott Smith,David Terrell,258
0,280,Sean Sherk,Nick Diaz,258
1,277,Terry Martin,Jason Lambert,258
0,281,Thiago Alves,Derrick Noble,258
0,282,Tim Sylvia,Andrei Arlovski,258
0,283,Tito Ortiz,Forrest Griffin,258
1,285,Alessio Sakara,Dean Lister,264
1,284,Assuerio Silva,Brandon Vera,264
0,284,Brandon Vera,Assuerio Silva,264
1,288,Chael Sonnen,Jeremy Horn,264
0,285,Dean Lister,Alessio Sakara,264
0,286,Diego Sanchez,John Alessio,264
1,287,Fabiano Scherner,Gabriel Gonzaga,264
0,287,Gabriel Gonzaga,Fabiano Scherner,264
0,288,Jeremy Horn,Chael Sonnen,264
1,291,Joe Riggs,Mike Swick,264
1,286,John Alessio,Diego Sanchez,264
0,289,Matt Hughes,Royce Gracie,264
1,292,Matt Wiman,Spencer Fisher,264
0,290,Melvin Guillard,Rick Davis,264
0,291,Mike Swick,Joe Riggs,264
1,290,Rick Davis,Melvin Guillard,264
1,289,Royce Gracie,Matt Hughes,264
0,292,Spencer Fisher,Matt Wiman,264
0,293,Anderson Silva,Chris Leben,268
1,294,Branden Lee Hinkle,Jason Lambert,268
1,293,Chris Leben,Anderson Silva,268
1,299,Danny Abbadi,Kalib Starnes,268
1,298,Dave Menne,Josh Koscheck,268
1,301,Ed Herman,Kendall Grove,268
0,294,Jason Lambert,Branden Lee Hinkle,268
1,305,Jesse Forbes,Matt Hamill,268
0,295,Jon Fitch,Thiago Alves,268
0,296,Jonathan Goulet,Luke Cummo,268
1,304,Jorge Gurgel,Mark Hominick,268
0,297,Jorge Santiago,Justin Levens,268
1,306,Josh Haynes,Michael Bisping,268
0,298,Josh Koscheck,Dave Menne,268
1,297,Justin Levens,Jorge Santiago,268
0,299,Kalib Starnes,Danny Abbadi,268
0,300,Keith Jardine,Wilson Gouveia,268
0,301,Kendall Grove,Ed Herman,268
0,302,Kenny Florian,Sam Stout,268
1,309,Kristian Rothaermel,Rob MacDonald,268
